الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة
جامعة الملك سعود,مشروع توريد وتركيب وتشغيل خوادم المركز الرئيسي لجامعة الملك سعود,2021-08-16,4941579.56
وزارة الاتصالات وتقنية المعلومات  -  الديوان العام, الدعم والصيانة لمراكز بيانات برنامج التعاملات الإلكترونية الحكومية 2020,2021-09-22,2599243.0
أمانة محافظة جدة,الدعم الفني لنظام الربط الالكتروني بالنظام المركزي للحقوق المالية (صرف) - 16631,2021-10-08,766935.0
أمانة منطقة الرياض,صيانة وتشغيل شبكتي تصريف السيول والمياه الأرضية شمال الرياض نطاق بلدية العليا,2021-10-25,9027672.5
أمانة منطقة عسير,صيانة نظام مكين للتعاملات الإلكترونية بأمانة منطقة عسير ,2021-08-16,5630400.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,تأمين توريدات أطعمة الحيوانات لمركز الطب المقارن ,2021-03-30,99360.0
إدارة التعليم بمحافظة الرس,تأهيل مبنى ابتدائية الغبية بنات ,2021-05-20,192533.0
مستشفى الملك فيصل التخصصي ومركز الأبحاث,صيانة أجهزة وأنظمة الطب الإتصالي لإدارة التعاول الصحي ,2021-06-04,2298031.2
أمانة منطقة القصيم,تأمين وتوريد حاوية نفايات بلاستيكية / بلدية محافظة الرس,2021-04-01,358800.0
الهيئة العامة للغذاء والدواء,توريد وتأمين قطع غيار جهاز الكروماتوجرافي السائل HPLC,2021-06-01,309886.78
الهيئة الملكية للجبيل وينبع - الإدارة العامة بينبع,توريد وتأمين خدمات تركيبات الأسنان بالمركز الطبي بالهيئة الملكية بينبع,2021-10-31,792200.0
المديرية العامة للشؤون الصحية بمنطقة تبوك,الصيانة والنظافة والتشغيل الغير طبي لمستشفى محافظة حـــقـــل الــعــام بـمنـطقـة تــبـــوك ,2022-08-30,66399332.5
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بالمجمعة(مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط) ,2021-08-05,296582.98
المؤسسة العامة للتدريب التقني والمهني,تشغيل اعمال الحراسات الأمنية في الكلية التقنية للبنين بالقويعية ( مخصص للمنشآت الصغيرة والمتوسطة المحلية فقط) ,2021-08-05,296582.98
المديرية العامة للشؤون الصحية بمنطقة عسير,مشروع إحلال وتطوير استراحات الأطباء وقسم المسالك بمستشفى عسير المركزي,2021-10-28,1641228.25
