الجهة الرئيسية,تاريخ الإنشاء,اسم المنافسة,قيمة الترسية بالريال 
هيئة تطوير منطقة المدينة المنورة,"1 January, 2025",تقييم منافع الموظفين بهيئة تطوير منطقة المدينة المنورة بالطريقة الاكتوارية للعام المالي 2024م,13800.0
وزارة البلديات والإسكان,"1 January, 2025",توريد لوحات وبنرات لبلدية الدليميه,489000.0
وزارة التعليم,2025-01-01 00:00:00,تنفيذ سور معدني على محيط كلية الهندسة فرع الطالبات بعنيزة,54993.0
وزارة التعليم,"1 January, 2025",تأمين مطبوعات للمدينة الطبية ,99900.5
وزارة التعليم,"1 January, 2025",تأمين فرش لمخيم الجامعة لزوم إدارة العلاقات العامة ,35000.02
وزارة التعليم,"1 January, 2025",توريد قطع غيار لمركز صيانة سيارات الجامعة ,98992.0
وزارة التعليم,"1 January, 2025",فك ونقل وتركيب معملين من مبنى الطالبات رقم 25 الى مبنى الكلية الجديد لزوم كلية الصيدلة ,99360.0
وزارة العمل والتنمية الاجتماعية,"1 January, 2025",تشغيل الحراسات الأمنية بمنطقة حائل للمنشآت التدريبية والادارية بـ (الكلية التقنية للسياحة والفندقة بحائل),763680.96
وزارة التعليم,"1 January, 2025",توريد تجهيزات مكتبية وتعليمية لزوم كلية اللغات والعلوم الانسانية ,0.0
وزارة العمل والتنمية الاجتماعية,"1 January, 2025",تشغيل الحراسات الأمنية بمنطقة نجران للمنشآت التدريبية والادارية بـ (الكلية التقنية للبنات بشروره),974804.4
وزارة البلديات والإسكان,"1 January, 2025",تأمين صبة خرسانية 350 مقاوم مع اعمال المروحة لبلدية محافظة رياض الخبراء.,498332.49
وزارة البلديات والإسكان,"1 January, 2025",تأمين وجبة غداء لعدد25 شخص,15799.99
وزارة البلديات والإسكان,"1 January, 2025",عملية توريد دهانات لزوم مركز بئر عسكر ومركز عاكفة,96370.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة وبرمجة كاميرات البلدية والمرافق التابعة لها لبدية محافظة رياض الخبراء.,497688.95
المؤسسة العامة للموانئ,"1 January, 2025",تغذية محطة الوقود بميناء الملك فهد الصناعي بالجبيل,43400.0
وزارة البلديات والإسكان,"1 January, 2025",تامين بشت 7 الوان للمشرف العام على مكتب الامين ,29997.75
وزارة البلديات والإسكان,"1 January, 2025",تأمين خيام ومسارح لمهرجان ربيع النعيرية 1446هـ,458500.0
وزارة التعليم,"1 January, 2025",مراجعة الحساب الختامي للسنة المالية (2024م),33350.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة الكراسي والمظلات بالساحات (بلدية محافظة صامطة),99475.0
وزارة المالية,"1 January, 2025",تشغيل وصيانة أنظمة فحص الحاويات والمركبات بالأشعة السينية - المرحلة الثانية ,22200750.0
وزارة البلديات والإسكان,"1 January, 2025",توريد وتركيب مستلزمات إحتفالية يوم التأسيس لعام 1446هـ ,1406738.65
وزارة البلديات والإسكان,"1 January, 2025",تامين ديزل لمحطة بلدية محافظة رابغ ,39847.5
وزارة البلديات والإسكان,"1 January, 2025",عملية صيانة بوابة عسفان من الجهة الجنوبية ,498065.0
وزارة البلديات والإسكان,"1 January, 2025",عملية صيانة مجسم قلعة عسفان التاريخية التراثية الحديثة بعسفان,493580.0
وزارة الصحة,"1 January, 2025","2"" SUPERCEL FILM RAINBOW + THERMAL PAPER RELATED TO PACKAGING UNIT DOSE TABLETOP",99958.0
وزارة الصحة,"1 January, 2025",NEEDLE BOTOX ADJUST TIP 35CM ,27000.0
وزارة الثقافة,"1 January, 2025",خدمات التموين ومعدات الضيافة للمقر الرئيسي والفروع,558934.5
وزارة البلديات والإسكان,"1 January, 2025",اعمال الفلترة للنافورة التفاعلية لبلدية عسفان,496478.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة واستبدال أعمدة ديكوريه للحديقة امام المركز الحضاري ببلدية عسفان,197225.0
وزارة الاستثمار,"1 January, 2025",تأهيل مبنى كيرف لتشغيل خدمة الانترنت  ,483000.0
وزارة البلديات والإسكان,"1 January, 2025",صيانة الطبقة الاسفلتية لمعالجة التشوهات البصرية لبلدية الدليميه ,2691000.0
وزارة التعليم,"1 January, 2025",منافسة تطوير وصيانة نظام إدارة ومتابعة المعاملات,1799999.83
وزارة البلديات والإسكان,"1 January, 2025",توريد مواد بناء لبلدية جلاجل,450800.0
وزارة البلديات والإسكان,"1 January, 2025",مشروع إعادة تأهيل شوارع تجميعية بحي أحد بالدمام ,17986115.0
وزارة السياحة,"1 January, 2025",Media Library Management,1868964.27
وزارة الصحة,"1 January, 2025",م الملك سلمان اكفان ,99360.0
البيئة والمياه والزراعة,"1 January, 2025",دراسة وتصميم عدد 6 مرافئ صيد ( المزروعية الفريع منيفة البرك بيش السلطانية ),14503867.68
وزارة البلديات والإسكان,"1 January, 2025",طلب تامين ديزل,33200.0
وزارة البلديات والإسكان,"1 January, 2025",طلب تامين بنزين 91,43400.0
وزارة الموارد البشرية والتنمية الاجتماعية,"1 January, 2025",تجديد رخص لجدران الحماية النارية,71753.1
وزارة البلديات والإسكان,"1 January, 2025",توريد محروقات ديزل وبنزين 91 لبلدية الدليميه ,845200.0
وزارة البلديات والإسكان,"1 January, 2025",تأمين محروقات ديزل لبلدية محافظة عيون الجواء,97385.22
وزارة البيئة والمياه والزراعة,"1 January, 2025",تأمين حامل كنفس خشبي واستيكر شفاف مع قص اكريلك ,6923.0
وزارة الصحة,"1 January, 2025",كسح مياه الصرف الصحي لمستشفيات (صبياء - بني مالك – العيدابي – فيفا),99705.0
وزارة السياحة,"1 January, 2025",تقديم خدمات استشارية لدعم استعداد وزارة السياحة لتمكين تجربة الزائر وتعزيز الكفاءة التشغيلية,1980000.0
وزارة التعليم,"1 January, 2025",توريد كتب ومراجع لعام 2025 لكلية التصاميم والفنون,98693.0
وزارة المالية,"1 January, 2025",تشغيل وصيانة أنظمة فحص الحاويات والمركبات بالأشعة السينية 2025 (المرحلة الرابعة) ,19318229.0
وزارة المالية,"1 January, 2025", تشغيل وصيانة أنظمة فحص السيارات والمركبات بالأشعة السينية 2025 ,21999868.0
