الجهة الرئيسية,تاريخ الإنشاء,اسم المنافسة,قيمة الترسية بالريال 
وزارة البلديات والإسكان,"1 February, 2025",عملية منافسة توريد مواد كهرباء  متنوعه بلدية اللهابه,99417.5
وزارة التعليم,"1 February, 2025", تجديد الاشتراك في قاعدة بيانات Arcif,29742.5
وزارة البلديات والإسكان,"1 February, 2025",أعمال صيانة لحديقة الربوه,99992.5
وزارة البلديات والإسكان,"2 February, 2025",صيانة دورات المياه بمحافظة رابغ ,1149178.9
مجمع الملك عبدالعزيز للمكتبات الوقفية,"2 February, 2025",نقل الكتب النادرة لمكتبة عارف حكمت من مقر الجامعة الإسلامية إلى مقر مجمع الملك عبدالعزيز للمكتبات الوقفية ,13344.6
البيئة والمياه والزراعة,"2 February, 2025",توريد بنزين الهيئة السعودية للمياه منظومة انتاج الشعيبة - الساحل الغربي.,88596.0
وزارة البلديات والإسكان,"2 February, 2025",صيانة طرق شمال الثامرية بالمذنب,9895011.0
وزارة البلديات والإسكان,"2 February, 2025",تأمين كوفي بريك ووجبة غداء لوفد وكالة الوزارة للإسكان التنموي-أمانة منطقة الباحة-,76400.25
وزارة البلديات والإسكان,"2 February, 2025",صيانة طريق الملك عبدالعزيز بالمذنب,11800955.0
وزارة النقل,"2 February, 2025",الخدمات الهندسية للإشراف على الطريق الذي يربط الجبيل بطريق الرياض/ الدمام السريع وطريق الظهران/ بطحاء وبعض الطرق بالمنطقة الشرقية,22051848.0
وزارة البلديات والإسكان,"2 February, 2025",صيانة وحدات الكهرباء والسباكة في المركز الحضاري بمحافظة النبهانية ,98419.3
وزارة البلديات والإسكان,"2 February, 2025",صيانة ابواب داخلية وخارجية في المركز الحضاري ,97784.5
وزارة البلديات والإسكان,"2 February, 2025",استئجار سيارة دفع رباعي لبلدبة هروب,97980.0
وزارة البلديات والإسكان,"2 February, 2025",صيانة وسائل السلامة والاسطح بالمركز الحضاري ومبنى البلدية ,494316.0
وزارة الموارد البشرية والتنمية الاجتماعية,"2 February, 2025",ملتقى استدامة منظمات القطاع غير الربحي بمنطقة مكة المكرمة,41400.0
الهيئة الملكية للجبيل وينبع,"2 February, 2025",توريد مواد بناء وأدوات سباكة,52527.78
المؤسسة العامة للموانئ,"2 February, 2025",توريد الزي الرسمي لموظفي الأمن الصناعي بميناء الملك فهد الصناعي بالجبيل,53705.0
هيئة الرقابة النووية والإشعاعية,"2 February, 2025",ورشة عمل لإستعراض انجازات الهيئة وأعمالها المستقبلية مع الوكالة الدولية للطاقة الذرية,279335.0
وزارة البلديات والإسكان,"2 February, 2025",بشأن تأجير معدات للبلدية لزوم إدارة الخدمات,99360.0
وزارة التعليم,"2 February, 2025",شحن سائل الهيليوم لجهاز الرنين المغناطيسي ,85913.63
الهيئة الملكية للجبيل وينبع,"2 February, 2025",توريد قطع غيار سيارات الضيافة,25856.5
وزارة البلديات والإسكان,"2 February, 2025",تأمين وتوريد مجسمات واشكال جمالية لبلدية محافظة ينبع,99797.0
وزارة البلديات والإسكان,"2 February, 2025",توريد ديزل لاستهلاك شهر فبراير 2025,54695.0
وزارة البلديات والإسكان,"2 February, 2025",توريد بنزين ,74735.0
وزارة البلديات والإسكان,"2 February, 2025",توريد مواد بناء ,99360.0
وزارة البلديات والإسكان,"2 February, 2025",تأمين كفرات للمعدات التابعة لبلدية قيا ,224704.25
هيئة تطوير مكة,"2 February, 2025",عملية استئجار قاعة لإقامة برنامج تدريبي لبعض منسوبي الهيئة,0.0
وزارة البلديات والإسكان,"2 February, 2025",تأمين كيابل كهرباء لبلدية قيا,14720.0
المؤسسة العامة للموانئ,"2 February, 2025",تحديد القيمة الايجارية للقطع البحرية بميناء الملك فهد الصناعي بينبع,46000.0
وزارة البلديات والإسكان,"2 February, 2025",تأمين أجهزة شبكة خاصة لبلدية الخبراء ,15268.55
وزارة البلديات والإسكان,"2 February, 2025",تأهيل حديقة القنعة (تدخل حضري ),495650.0
وزارة البلديات والإسكان,"2 February, 2025", تجهيز احتفالية بحديقة النافورة بعسفان,98670.0
وزارة النقل,"2 February, 2025",بشان تامين قطع غيار وصيانه التاهو التابع لفرع وزارة النقل والخدمات الوجستية بجازان,8501.45
وزارة البلديات والإسكان,"2 February, 2025",صيانة الشبكات وأجهزة الاتصالات في مبنى بلدية عسفان,98181.25
وزارة البلديات والإسكان,"2 February, 2025",صيانة مكيفات البلدية والمرافق التابعة لها ,99394.5
وزارة الصحة,"2 February, 2025",تأمين أرفف معدنية ذات وزن ثقيل لتخزين المواد الكيميائية ( كلوركس أو صابون ),11040.0
وزارة البلديات والإسكان,"2 February, 2025",صيانة دهانات البلدورات ,95680.0
وزارة التعليم,"2 February, 2025",تأمين سكن لفريق الاعتماد الأكاديمي الأمريكي لكلية الصيدلة,12094.0
البيئة والمياه والزراعة,"2 February, 2025",توريد كمبروسورات للهيئة السعوديه للمياه منظومة انتاج الشعيبه الساحل الغربي,71070.0
وزارة الصحة,"2 February, 2025",منافسة تأمين وتوريد قطع غيار مركبات المحافظات التابعة لتجمع نجران الصحي ADR-2025-16,498755.0
وزارة الصحة,"2 February, 2025",منافسة تأمين احتياج زيوت للعربات المتنقلة التابعة لتجمع نجران الصحي ADR-2025-15,0.0
البيئة والمياه والزراعة,"2 February, 2025",توريد قطع غيار تكييف للهيئة السعوديه للمياه منظومة انتاج الشعيبه الساحل الغربي,68977.0
البيئة والمياه والزراعة,"2 February, 2025",توريد قطع غيار موتورات كهربائية  للهيئة السعوديه للمياه منظومة انتاج الشعيبه الساحل الغربي,68863.15
وزارة البلديات والإسكان,"2 February, 2025",تامين اثاث لزوم مختلف الادارات بالامانه (شرق الدمام - وكاله الخدمات -تصريف الامطار -غرب الدمام),97991.5
وزارة الموارد البشرية والتنمية الاجتماعية,"2 February, 2025",توريد وتركيب غرف نوم لدار التربية الاجتماعية للبنين بشقراء,43757.5
وزارة البلديات والإسكان,"2 February, 2025",توريد اسمدة زراعية,39675.0
وزارة البلديات والإسكان,"2 February, 2025",عملية صيانة وتأهيل مرفق للبلدية ,99820.0
وزارة البلديات والإسكان,"2 February, 2025",تامين ثطع غيار وسائط نقل ( 2 ),9135.6
وزارة البلديات والإسكان,"2 February, 2025",توريد ديزل لمحطة بلدية القوارة,99900.0
وزارة البلديات والإسكان,"2 February, 2025",توريد بنزين لمحطة بلدية القوارة,87200.0
وزارة البلديات والإسكان,"2 February, 2025",تأمين مستلزمات للأحتفالات السنوية للبلدية ,99650.95
وزارة البلديات والإسكان,"2 February, 2025",توريد دهانات لزوم تحسين المشهد الحضري ومعالجة الكتابات المشوهة,294112.5
وزارة التعليم,"2 February, 2025",الاشتراك في تراخيص مسارات التعلم المرن لزوم عمادة التعلم الالكتروني وتقنية المعلومات ,426937.5
وزارة المالية,"2 February, 2025", تطوير أجهزة الإقرار في المنافذ الجوية,300000.0
وزارة التعليم,"2 February, 2025",تجهيز معرض المنتجات العضوية بالمقر الرئيسي ,0.0
وزارة التعليم,"2 February, 2025",صيانة طفايات الحريق بالمدينة الجامعية ,99925.92
وزارة البلديات والإسكان,"2 February, 2025",تامين مواد بناء لبلدية محافظة ابانات ,96137.54
المؤسسة العامة للموانئ,"2 February, 2025",تجهيز الإحتفال بيوم التأسيس بميناء الملك فهد الصناعي بالجبيل,52785.0
وزارة التعليم,"2 February, 2025",تأمين ستائر لزوم الكلية التطبيقية ,98756.25
وزارة البلديات والإسكان,"2 February, 2025",استبدال ماكينة رصاصة ترابية CS533E,99372.65
وزارة البلديات والإسكان,"2 February, 2025",صيانة ومعالجة واستبدال لوحات التسمية بالجزر الوسطية بالفردانية,99222.0
وزارة البلديات والإسكان,"2 February, 2025",صيانة وتحويل شبكة الري العادية الى اوتوماتيك بالفردانية,99187.5
وزارة البلديات والإسكان,"2 February, 2025",صيانة واستبدال مصدات الرياح المدخل الجنوبي بعين دار,98681.5
وزارة البلديات والإسكان,"2 February, 2025",توريد وتنفيذ ارضيات مطاطية لمنتزه الأمير فهد بن سلطان ببلدية محافظة تيماء ,290168.0
وزارة البلديات والإسكان,"2 February, 2025",صيانة العاب حديقة مركز الفردانية,96600.0
وزارة البلديات والإسكان,"2 February, 2025",إزالة ورفع المخلفات مجهولة المصدر بالمخططات السكنية بمركز دميغ,99360.0
وزارة الاقتصاد والتخطيط,"2 February, 2025",توزيعات الموظفين في برج الرياض,98049.0
وزارة النقل,"2 February, 2025",تأمين كفرات وبطاريات لسيارات فرع وزارة النقل والخدمات اللوجستية بمنطقة مكة المكرمة,0.0
وزارة الإعلام,"2 February, 2025",حجز صالة تنفيذية لضيوف وزارة الإعلام (كبار المسئولين) لعام 2025,345000.0
وزارة المالية,"2 February, 2025",توضيب علوي للمولدات بمحطة توليد الكهرباء الخاصة بمنفذ سلوى ,20985200.0
وزارة البلديات والإسكان,"2 February, 2025",توريد وتنفيذ اعمال ردم لحديقتي الجهراء والجديد ببلدية محافظة تيماء ,198533.7
وزارة البلديات والإسكان,"2 February, 2025",توريد مصدات خرسانية ديكورية لزوم المحافظة على الارصفة ,292675.0
وزارة البلديات والإسكان,"2 February, 2025",تأمين العلم السعودي,32200.0
البيئة والمياه والزراعة,"2 February, 2025",الاشتراك في منصة قانونية,40250.0
وزارة البلديات والإسكان,"2 February, 2025",مشروع توريد لوحات كلادينج لبلدية الدليميه,489325.0
وزارة التعليم,"2 February, 2025",الاحتفاء بيوم التأسيس 2025 الإدارة العامة لتعليم جازان,253402.5
وزارة البلديات والإسكان,"2 February, 2025",تامين نقاط لبرنامج( مقيم ) لأمانة حفر الباطن,18400.0
وزارة البلديات والإسكان,"2 February, 2025",تجديد اشتراك خدمة برنامج ( مقيم ) لامانة حفر الباطن,13750.55
وزارة النقل,"2 February, 2025",تأمين قطع غيار الشاشات الطولية بمبنى الوزارة الرئيسي,76475.0
وزارة البلديات والإسكان,"2 February, 2025",توريد قواعد خرسانية لأعمدة الانارة / بلدية محافظة الرس,488750.0
وزارة البلديات والإسكان,"2 February, 2025",تأمين مبيدات حشرية لأعمال الأصحاح البيئي لبلدية محافظة عيون الجواء,94748.5
وزارة البلديات والإسكان,"2 February, 2025",تامين غطاسات ودفاعات لصيانة المزروعات بلدية محافظة عيون الجواء ,495834.0
وزارة البلديات والإسكان,"2 February, 2025",عمل دراسة بيئية وبيولوجية لمردم بلدية محافظة ابانات ,54050.0
وزارة البلديات والإسكان,"2 February, 2025",توريد أشجار ودعامات خشبية,249250.0
وزارة البلديات والإسكان,"2 February, 2025", صيانة وتأهيل أرصفه شوارع غرب مخطط العروبه بمحافظة طبرجل,293250.0
وزارة البلديات والإسكان,"2 February, 2025",توريد كفرات لمعدات البلدية,71932.5
وزارة البلديات والإسكان,"2 February, 2025",توريد كيابل لبلدية الخبراء ,0.0
وزارة البلديات والإسكان,"2 February, 2025",توريد إسمنت وبحص وخرسانة جاهزة,99705.0
وزارة التعليم,"2 February, 2025",تجديد صلاحية طفايات الحريق في جميع مقرات جامعة المجمعة ,23092.0
وزارة البلديات والإسكان,"2 February, 2025",لوحات للمواقع استثمارية ,43700.0
وزارة التعليم,"2 February, 2025",تامين احتياج إدارة النشاط الطلابي بتعليم الطائف من متطلبات للإحفاء بيوم التأسيس لعام 2025م,241747.25
وزارة الصحة,"2 February, 2025",تامين فعالية يوم التاسيس لعام 2025 لمستشفى القطيف المركزي,29727.5
وزارة التعليم,"2 February, 2025",تجهيز لحفل الجامعة بيوم التأسيس 2025م,98440.0
وزارة الموارد البشرية والتنمية الاجتماعية,"2 February, 2025",الحصول على شهادة الايزو 9001,53187.5
وزارة السياحة,"2 February, 2025",الخدمات الاستشارية المتخصصة لأعمال مشاركة الوزارة في منتدى الاقتصاد العالمي في مدينة دافوس,1984998.9
وزارة التعليم,"2 February, 2025",تامين قطع غيار لسيارات الحركة 45434       ,99843.0
وزارة البلديات والإسكان,"2 February, 2025",تامين مستلزمات ضيافة لبلدية محافظة طبرجل,0.0
وزارة التعليم,"2 February, 2025",توفير أغطية ولحف للمراتب التي تخص طلاب المنح الخارجية,98670.0
وزارة البلديات والإسكان,"2 February, 2025",تأهيل المنتزه الربيعي بمحافظة الافلاج,406318.0
وزارة التجارة ,"2 February, 2025",تطوير دراسات استراتيجية لتطوير التجربة الرقمية لمنصة اعتماد ,3450000.0
وزارة الاقتصاد والتخطيط,"2 February, 2025",تقديم خدمات تواصلية لوزارة الاقتصاد والتخطيط لعام 2025م,3990500.0
وزارة المالية,"2 February, 2025",تقديم خدمات الإعاشة لموظفي منفذ الربع الخالي,100.05
وزارة المالية,"2 February, 2025",إنشاء مظلة فحص بالوسائل الحية في مسار الشحن الوارد في منفذ الرقعي البري    ,9565746.0
الهيئة العامة للطيران المدني,"2 February, 2025",مشروع احتفال يوم التأسيس 2025م ,450000.0
