الجهة الرئيسية,تاريخ الإنشاء,اسم المنافسة,قيمة الترسية بالريال
وزارة البلديات والإسكان,"1 March, 2025",منافسة تأمين وتوريد اسفلت الطرق لبلدية عريعرة ,95680.0
وزارة البلديات والإسكان,"1 March, 2025",منافسة تأمين وتوريد تأمين حاويات النظافة العامة لبلدية عريعرة,99187.5
وزارة البلديات والإسكان,"1 March, 2025",منافسة تأهيل وإصلاح الابار التابعة لبلدية عريعرة,62100.0
وزارة الصحة,"2 March, 2025",مستشفى الحريق - تأمين احواض غسيل اليد في العمليات بالليزر,16962.5
وزارة الصحة,"2 March, 2025",مستشفى الحريق -طلب خزائن ادويه مقيده ,5663.75
وزارة الصحة,"2 March, 2025",مستشفى الحريق- تأمين كراسي متنوعه واثاث مكتبي,13938.0
وزارة البلديات والإسكان,"2 March, 2025",مشروع توريد وتركيب أعمال الدعاية والإعلام اجاويد 3,67229.0
وزارة الصحة,"2 March, 2025",MIDODRINE 10 MG TABLET,19980.0
مكتب تحقيق الرؤية,"2 March, 2025",مشروع دراسة درب الهجرة النبوية,0.0
هيئة المحتوى المحلي والمشتريات الحكومية,"2 March, 2025",نظام التوعية بالأمن السيبراني,99475.0
هيئة تطوير المنطقة الشرقية,"2 March, 2025",توريد و تجديد رخص الضمان و الصيانة لنظام الاتصالات الادارية,158700.0
وزارة البلديات والإسكان,"2 March, 2025",طلب مواد كهرباء,96347.0
وزارة التعليم,"2 March, 2025",تأمين احتياج احبار طابعة بطاقات للطلاب,16269.05
وزارة الاتصالات وتقنية المعلومات,"2 March, 2025",تأمين اعاشة للمشاركين بموسم الحج 1446هـ بمكة المكرمة ,99750.0
وزارة النقل,"2 March, 2025",تأمين قطع غيار المعدة قريد كوماتسو رقم (503/310) فرع وزارة النقل والخدمات اللوجستية بمنطقمكة المكرمة,10350.0
المعهد الوطني للتطوير المهني التعليمي,"2 March, 2025",الاشتراك بمنصة مقيم ,1857.25
وزارة البلديات والإسكان,"2 March, 2025",توريد ديزل لمحطة البلدية 4 ,59725.0
وزارة البلديات والإسكان,"2 March, 2025",صيانة الحاضنات بأحد المسارحة ,99360.0
وزارة البلديات والإسكان,"2 March, 2025",صيانة وتوريد قطع غيار سيارات البلدية ,20000.0
وزارة البلديات والإسكان,"2 March, 2025",توريد أدوات سباكة وكهرباء لمرافق البلدية ,97000.0
المؤسسة العامة للموانئ,"2 March, 2025",تقديم الخدمات الهندسية الاستشارية لتأهيل وإصلاح أرصفة محطة البضائع العامة  بميناء الملك فهد الصناعي بينبع ,98325.0
وزارة التعليم,"2 March, 2025", تسكين مناقشين للجامعة الإسلامية عدد 6,16301.4
وزارة الصحة,"2 March, 2025",تأمين طلبات فعالية عيد الفطر المبارك لعام 2025م لفرع وزارة الصحة بالطائف,6785.0
وزارة البلديات والإسكان,"2 March, 2025",تجديد الإشتراك بمقيم + تم,9085.0
وزارة التجارة ,"2 March, 2025",دراسة تأثير إضافة ثاني اكسيد الكربون في الخلطات الخرسانية الإسمنتية البورتلاندية,249968.6
وزارة التجارة ,"2 March, 2025",دراسة وتقييم المخاطر المحتملة لاستخدام الأجهزة الكهربائية والالكترونية مع احتمال عدم وجود خط التأريض,185437.5
وزارة البلديات والإسكان,"2 March, 2025",معالجة إطفاءات الإناره المتكرره في الطريق الدولي  (طبرجل - الفياض),295032.5
وزارة المالية,"2 March, 2025",إنشاء خزان و خط أنابيب مياه الري في منفذ الحديثة البري,2887544.19999999
وزارة الاتصالات وتقنية المعلومات,"2 March, 2025",مشروع مداورة مركز المعالجة التابع لقطاع العمليات خدمات الدعم التشغيلي للعمليات,10257484.8
وزارة التعليم,"2 March, 2025",تنفيذ احتياجات حفل التخرج لطلاب وطالبات الجامعة للعام 1446هـ ,497375.0
مكتب تحقيق الرؤية,"2 March, 2025",تنفيذ برامج الشهادات الاحترافية,0.0
هيئة الهلال الأحمر السعودي,"2 March, 2025",اقامة 6 ورش عمل دولية في مناطق المملكة ,927475.0
البيئة والمياه والزراعة,"2 March, 2025",نظام التحكم في الوصول للمكاتب وغرف الاتصال التقنية,0.0
وزارة البلديات والإسكان,"2 March, 2025",صيانة مجسمات جمالية لشهر رمضان المبارك ,98463.0
دارة الملك عبدالعزيز,"2 March, 2025",توريد أجهزة رقمنه الوثائق والمستندات للمركز السعودي للمحتوى الرقمي,27025.0
وزارة الصحة,"2 March, 2025",توريد احتياجات فعاليات يوم العلم السعودي 2025  بمكتب وزارة الصحة بالقريات,98348.0
وزارة الموارد البشرية والتنمية الاجتماعية,"2 March, 2025",توريد وتركيب أجهزة (افران و فريزر ) لدار الحضانة الاجتماعية النعيم- ودار الحضانة الاجتماعية السلام -جدة,54499.0
وزارة البلديات والإسكان,"2 March, 2025",تأمين وتوريد ( قطع غيار معدات ) لبلدية محافظة بقيق ــ بلدية محافظة بقيق,0.0
وزارة البلديات والإسكان,"2 March, 2025",توريد وتركيب كفرات سيارات مع الترصيص ــ بلدية محافظة بقيق,0.0
وزارة البلديات والإسكان,"2 March, 2025",توريد مجسمات زينة في الساحات والميادين والأماكن العامة بمناسبة حلول شهر رمضان المبارك,249600.0
البيئة والمياه والزراعة,"2 March, 2025",تنفيذ اعمال توريد الرمل وإزالة الرمل المختلط بالزيت لمنظومة انتاج الجبيل,73485.0
وزارة البلديات والإسكان,"2 March, 2025",توريد دهانات أرضية وبعض ملحقاتها - بلدية محافظة الرس,735584.85
وزارة النقل,"2 March, 2025",توريد وطباعة ملصق جداري داخلي مع التركيب لواجهة مبنى الهيئة ,17422.5
وزارة البلديات والإسكان,"2 March, 2025",توريد وتركيب مجسمات جمالية لبلدية محافظة عقلة الصقور,91080.0
وزارة البلديات والإسكان,"2 March, 2025",تجهيز وتنفيذ احتفالات عيد الفطر 1446ه,130065.0
وزارة الاتصالات وتقنية المعلومات,"2 March, 2025",تقديم إعاشة للمشاركين بموسم اعمال الحج لعام 1446 بالمدينة المنورة,99808.5
وزارة الصحة,"2 March, 2025",إصدار شهادة ترخيص الترميز الطبي مع التشغيل والدعم لشبكة الدمام الصحية,47430.0
وزارة الاقتصاد والتخطيط,"2 March, 2025",تصاميم معمل مختبر الابتكار,97175.0
وزارة التعليم,"2 March, 2025",تأمين احتياجات قسم الكيمياء من المواد الكيميائية,98999.94
البيئة والمياه والزراعة,"2 March, 2025",توريد وتركيب طابعة بطاقات ومستلزماتها,35168.15
البيئة والمياه والزراعة,"2 March, 2025",توريد قطع غيار الحماية المهبطية لمنظومة انتاج رأس الخير 60017111 الساحل الشرقي ,41400.0
البيئة والمياه والزراعة,"2 March, 2025",توريد غاز الهيدروجين لمنظومة انتاج الجبيل 60017112 بالساحل الشرقي ,57155.0
وزارة الرياضة,"2 March, 2025",إعداد وتصميم وتنفيذ برامج ومبادرات رياضية للمشي والهايكنج في منطقة جازان,0.0
البيئة والمياه والزراعة,"2 March, 2025",توريد قطع غيار لمعدة لمنظومة انتاج الجبيل 60017113 الساحل الشرقي ,99999.5
البيئة والمياه والزراعة,"2 March, 2025",توريد قطع غيار لمعدة لمنظومة انتاج الخفجي 60017114 الساحل الشرقي ,30004.0
وزارة البلديات والإسكان,"2 March, 2025",تنفيذ برنامج تدريبي اللغة الانجليزية لزوم أمانة المنطقة الشرقية ـ الإدارة العامة للموارد البشرية ـ إدارة التدريب .,98612.5
وزارة البلديات والإسكان,"2 March, 2025",توريد قطع غيار الأجهزة والآلات والمعدات والمضخات وصيانتها,298272.05
وزارة التعليم,"2 March, 2025",نقل الرجيع من المدارس الى المستودع بمحافظة القنفذة,88803.0
وزارة البلديات والإسكان,"2 March, 2025",توريد أكياس نفايات,130812.5
وزارة البلديات والإسكان,"2 March, 2025",اصلاح خارجي لسيارات متنوعة لزوم أمانة المنطقة الشرقية ـ الإدارة العامة للحركة والدعم اللوجستي ,92439.76
وزارة البلديات والإسكان,"2 March, 2025",تأمين قطع غيار معدات لبلدية محافظة عيون الجواء,98808.0
