الجهة,اسم المنافسة,تاريخ الترسية,قيمة المنافسة  بالريال السعودي
بلدية محافظة الليث,مشروع صيانة الشاطئ الرملي بالواجهة البحرية الشمالية,2023-02-27,696000.0
بلدية محافظة الليث,مشروع الاصحاح البيئي(مكافحة الحشرات والافات والكلاب الضاله بمدينة الليث والمراكز والقرى التابعة لها),2023-06-14,3130060.0
المركز الوطني لتنمية الحياة الفطرية,تنفيذ الباقات السياحة الموسمية السنوية بالمناطق المحمية,2023-04-03,4966850.0
المركز الوطني لتنمية الحياة الفطرية,توريد و تركيب اعمال بركسات لمراكز الأبحاث و الاكثار و محمية جزر فرسان,2023-06-07,3743250.0
المركز الوطني لتنمية الحياة الفطرية,طباعة وترجمة منظومة المناطق المحمية,2023-05-22,120750.0
المركز الوطني لتنمية الحياة الفطرية,توريد و تركيب لوحات استرشادية وتحذيرية لمناطق عبور الحيوانات الفطرية والمناطق التي تم الإطلاق فيها,2023-03-15,1369650.0
المركز الوطني لتنمية الحياة الفطرية,تأمين صناديق لنقل الحيوانات لمراكز الإكثار,2023-02-26,374555.0
المركز الوطني لتنمية الحياة الفطرية,إيصال التيار الكهربائي لمركز الملك الخالد لأبحاث الحياة الفطرية بالثمامة,2023-03-23,1903940.0
هيئة الزكاة والدخل,تقديم خدمات لعوامل جباية زكاة الانعام لعام 1444 هـ  ,2023-01-22,2800967.6
أمانة محافظة جدة,صيانة وترميم أرصفة الشوارع بالمحاور الرئيسية جنوب محافظة جدة - 17054,2023-05-18,21757633.0
هيئة كفاءة الإنفاق والمشروعات الحكومية,توفير رخص انظمة F5 لصالح هيئة كفاءة الانفاق والمشروعات الحكومية,2023-03-02,655500.0
أمانة محافظة جدة,صيانة وتشغيل سارية العلم بميدان خادم الحرمين الشريفين 17020,2023-04-26,11963100.0
هيئة الزكاة والدخل,تقديم خدمات النقل الترددي من منفذ سلوى إلى محافظة الاحساء,2023-02-05,497832.2
هيئة المساحة الجيولوجية السعودية,توريد اعلام وصور ولاة الامر داخل مباني الهيئة,2023-03-22,102867.5
بلدية محافظة بقيق,مشروع ردم المستنقعات بمحافظة بقيق والهجر التابعة لها ــ بلدية محافظة بقيق ,2023-03-26,828000.0
وزاة التجارة,مشروع تطوير النظام الصوتي لقاعة الاجتماعات الرئيسية – مكتب نائب الوزير,2023-03-21,155973.35
امانة محافظة حفر الباطن, توريد زيوت لمعدات وآلات امانة محافظة حفر الباطن,2023-03-07,320965.0
المديرية العامة للشؤون الصحية بمنطقة عسير,تأمين بنود غير طبية لمستشفى الفرشة العام,2023-06-15,300758.2
هيئة تطوير منطقة عسير,تحسين وتطوير البنية التحتية والشبكة المحلية ,2023-03-06,1274873.9
