الجهة الرئيسية,اسم المنافسة,تاريخ الترسية,قيمة الترسية
وزارة الشؤون البلدية والقروية,نظافة المراكز الإدارية الغربية السودة وطبب ومربه,2024-02-04,87000154.580001
وزارة الشؤون البلدية والقروية,نظافة المراكز الإدارية الغربية السودة وطبب ومربه,2024-02-04,87000154.580001
وزارة الشؤون البلدية والقروية,نظافة المراكز الإدارية الشرقية مدينة سلطان والشعف والعرين,2024-02-04,108601468.62
وزارة الشؤون البلدية والقروية,نظافة المراكز الإدارية الشرقية مدينة سلطان والشعف والعرين,2024-02-04,108601468.62
وزارة التعليم,منافسة مشروع تقديم خدمات التشغيل والصيانة لمستشفى الملك عبدالله بن عبدالعزيز الجامعي بجامعة الأميرة نورة  بنت عبدالرحمن,2024-01-01,73990992.8199997
وزارة التعليم,منافسة مشروع تقديم خدمات التشغيل والصيانة لمستشفى الملك عبدالله بن عبدالعزيز الجامعي بجامعة الأميرة نورة  بنت عبدالرحمن,2024-01-01,73990992.8199997
وزارة الصحة,صيانة ونظافة وتشغيل غير طبي للمراكز الصحية بالقطاع الأوسط بمنطقة جازان,2023-12-26,31965400.0
وزارة الصحة,صيانة ونظافة وتشغيل غير طبي لمراكز الصحية بقطاع صامطة بمنطقة جازان,2023-12-08,40549000.0
وزارة الصحة,صيانة ونظافة وتشغيل غير طبي لمراكز الصحية بقطاع أبوعريش بمنطقة جازان,2023-12-08,39538150.0
وزارة الشؤون البلدية والقروية,صيانة  الأرصفة شمال مدينة بريدة,2023-12-20,42808750.0
وزارة الشؤون البلدية والقروية,صيانة  الأرصفة شمال مدينة بريدة,2023-12-20,42808750.0
وزارة الشؤون البلدية والقروية,نظافة وتشغيل وصيانة مدفن النفايات بمدينة الرياض ,2024-02-04,153196284.0
وزارة الشؤون البلدية والقروية,نظافة وتشغيل وصيانة مدفن النفايات بمدينة الرياض ,2024-02-04,153196284.0
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية البطحاء,2024-01-11,370868155.199998
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية البطحاء,2024-01-11,370868155.199998
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية البطحاء,2024-01-11,370868155.199998
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية نمار,2024-01-11,314945878.169999
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية نمار,2024-01-11,314945878.169999
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية العريجاء,2024-01-11,248917350.59
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية العريجاء,2024-01-11,248917350.59
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية العريجاء,2024-01-11,248917350.59
وزارة الشؤون البلدية والقروية,نظافة نطاق بلدية الشرق,2024-02-21,290313547.0
