Date,Description,Amount,Category
2024-01-01,Bus Ticket,3.91,Transport
2024-01-01,Local Store,4.58,Shopping
2024-01-01,Whole Foods,1.2,Groceries
2024-01-01,Pizza Hut,5.52,Dining
2024-01-01,Whole Foods,4.92,Groceries
2024-01-01,Amazon Prime,9.2,Subscription
2024-01-01,Local Store,4.66,Shopping
2024-01-01,Amazon Prime,5.57,Subscription
2024-01-01,Netflix,8.05,Subscription
2024-01-01,Taxi,9.53,Transport
2024-01-01,Pizza Hut,5.97,Dining
2024-01-01,eBay,2.89,Shopping
2024-01-01,McDonald's,7.38,Dining
2024-01-01,Starbucks,7.14,Dining
2024-01-01,McDonald's,3.94,Dining
2024-01-01,Costco,6.17,Groceries
2024-01-01,Amazon Prime,6.82,Subscription
2024-01-01,Taxi,6.2,Transport
2024-01-01,Netflix,7.17,Subscription
2024-01-01,Pizza Hut,5.63,Dining
2024-01-01,Netflix,4.94,Subscription
2024-01-01,Taxi,4.46,Transport
2024-01-01,Whole Foods,9.3,Groceries
2024-01-02,McDonald's,1.48,Dining
2024-01-02,Netflix,4.72,Subscription
2024-01-02,Amazon,1.14,Shopping
2024-01-02,Bus Ticket,2.89,Transport
2024-01-02,Bus Ticket,2.86,Transport
2024-01-02,McDonald's,1.03,Dining
2024-01-02,McDonald's,7.3,Dining
2024-01-02,Taxi,5.32,Transport
2024-01-02,McDonald's,8.53,Dining
2024-01-02,Starbucks,4.33,Dining
2024-01-02,Taxi,7.45,Transport
2024-01-02,Spotify,2.9,Subscription
2024-01-02,Netflix,9.56,Subscription
2024-01-02,Starbucks,7.8,Dining
2024-01-02,Taxi,5.49,Transport
2024-01-02,Walmart,3.62,Groceries
2024-01-02,Bus Ticket,6.63,Transport
2024-01-02,Walmart,4.62,Groceries
2024-01-02,McDonald's,5.11,Dining
2024-01-02,eBay,2.3,Shopping
2024-01-02,Uber,4.83,Transport
2024-01-03,Netflix,8.5,Subscription
2024-01-03,Pizza Hut,1.35,Dining
2024-01-03,Taxi,3.68,Transport
2024-01-03,Bus Ticket,4.13,Transport
2024-01-03,Uber,7.05,Transport
2024-01-03,Walmart,7.91,Groceries
2024-01-03,Uber,3.78,Transport
2024-01-03,McDonald's,6.95,Dining
2024-01-03,eBay,8.19,Shopping
2024-01-03,Pizza Hut,1.23,Dining
2024-01-03,Amazon,8.22,Shopping
2024-01-03,Netflix,1.26,Subscription
2024-01-03,Uber,2.79,Transport
2024-01-03,Whole Foods,5.94,Groceries
2024-01-03,Spotify,8.1,Subscription
2024-01-03,Starbucks,4.23,Dining
2024-01-03,Taxi,9.34,Transport
2024-01-04,Amazon,1.54,Shopping
2024-01-04,Netflix,9.68,Subscription
2024-01-04,Netflix,4.52,Subscription
2024-01-04,Taxi,2.34,Transport
2024-01-04,Local Store,6.87,Shopping
2024-01-04,Amazon Prime,4.39,Subscription
2024-01-04,Whole Foods,4.4,Groceries
2024-01-04,Taxi,8.39,Transport
2024-01-04,Starbucks,5.6,Dining
2024-01-04,Starbucks,4.87,Dining
2024-01-04,Costco,1.37,Groceries
2024-01-04,McDonald's,2.36,Dining
2024-01-04,Netflix,2.73,Subscription
2024-01-04,Uber,9.09,Transport
2024-01-04,Spotify,3.8,Subscription
2024-01-04,Spotify,6.49,Subscription
2024-01-05,Pizza Hut,3.19,Dining
2024-01-05,Amazon Prime,4.7,Subscription
2024-01-05,Bus Ticket,7.83,Transport
2024-01-05,Netflix,5.93,Subscription
2024-01-05,Whole Foods,9.84,Groceries
2024-01-05,Pizza Hut,8.91,Dining
2024-01-05,Walmart,3.35,Groceries
2024-01-05,Pizza Hut,4.11,Dining
2024-01-05,Pizza Hut,4.84,Dining
2024-01-05,Amazon Prime,2.96,Subscription
2024-01-05,McDonald's,9.79,Dining
2024-01-05,Whole Foods,5.69,Groceries
2024-01-05,Pizza Hut,3.4,Dining
2024-01-06,McDonald's,5.0,Dining
2024-01-06,Bus Ticket,1.39,Transport
2024-01-06,Local Store,7.73,Shopping
2024-01-06,Spotify,1.13,Subscription
2024-01-06,Uber,8.87,Transport
2024-01-06,Spotify,9.95,Subscription
2024-01-06,Starbucks,9.3,Dining
2024-01-06,Netflix,8.5,Subscription
2024-01-06,Amazon,6.44,Shopping
2024-01-06,Walmart,8.16,Groceries
2024-01-06,Costco,9.54,Groceries
2024-01-06,Local Store,2.45,Shopping
2024-01-06,Uber,9.94,Transport
2024-01-06,Uber,8.27,Transport
2024-01-06,Pizza Hut,1.31,Dining
2024-01-06,Taxi,5.45,Transport
2024-01-06,Amazon,4.7,Shopping
2024-01-06,Taxi,3.46,Transport
2024-01-07,Amazon Prime,9.3,Subscription
2024-01-07,Starbucks,9.53,Dining
2024-01-07,McDonald's,4.69,Dining
2024-01-07,Amazon Prime,9.28,Subscription
2024-01-07,Amazon,5.83,Shopping
2024-01-07,Walmart,7.44,Groceries
2024-01-07,eBay,7.81,Shopping
2024-01-07,Pizza Hut,9.76,Dining
2024-01-07,Costco,9.02,Groceries
2024-01-07,Whole Foods,8.3,Groceries
2024-01-07,Amazon,8.46,Shopping
2024-01-07,Spotify,5.77,Subscription
2024-01-07,Netflix,6.16,Subscription
2024-01-07,Amazon Prime,2.88,Subscription
2024-01-07,Amazon,9.1,Shopping
2024-01-07,Starbucks,6.32,Dining
2024-01-07,Bus Ticket,8.79,Transport
2024-01-07,Netflix,3.73,Subscription
2024-01-07,Uber,8.43,Transport
2024-01-07,Taxi,9.44,Transport
2024-01-08,Pizza Hut,1.44,Dining
2024-01-08,Starbucks,8.87,Dining
2024-01-08,Pizza Hut,5.16,Dining
2024-01-08,Spotify,2.05,Subscription
2024-01-08,eBay,8.24,Shopping
2024-01-08,eBay,8.56,Shopping
2024-01-08,eBay,4.53,Shopping
2024-01-08,Uber,5.37,Transport
2024-01-08,Whole Foods,4.64,Groceries
2024-01-08,Uber,9.35,Transport
2024-01-08,Amazon,7.55,Shopping
2024-01-08,Costco,6.93,Groceries
2024-01-08,eBay,4.96,Shopping
2024-01-08,Local Store,7.99,Shopping
2024-01-08,McDonald's,4.96,Dining
2024-01-08,eBay,4.36,Shopping
2024-01-08,Uber,5.33,Transport
2024-01-08,Whole Foods,7.33,Groceries
2024-01-08,McDonald's,8.08,Dining
2024-01-09,Amazon,4.37,Shopping
2024-01-09,Costco,2.54,Groceries
2024-01-09,Local Store,4.69,Shopping
2024-01-09,Whole Foods,5.81,Groceries
2024-01-09,Bus Ticket,4.2,Transport
2024-01-09,eBay,4.48,Shopping
2024-01-09,Taxi,1.57,Transport
2024-01-09,Amazon Prime,7.62,Subscription
2024-01-09,eBay,6.45,Shopping
2024-01-09,McDonald's,8.27,Dining
2024-01-09,Spotify,6.12,Subscription
2024-01-09,Whole Foods,7.86,Groceries
2024-01-09,Taxi,9.49,Transport
2024-01-09,Walmart,7.94,Groceries
2024-01-10,Spotify,1.1,Subscription
2024-01-10,Uber,5.81,Transport
