Date,Description,Amount,Category
2025-01-12,Starbucks,21.0,Dining
2024-06-28,Whole Foods,14.28,Groceries
2024-06-07,Costco,25.58,Groceries
2024-11-25,Local Store,15.91,Shopping
2024-07-15,Walmart,41.67,Groceries
2024-02-24,Whole Foods,25.32,Groceries
2025-02-17,Local Store,46.59,Shopping
2024-12-28,eBay,41.2,Shopping
2024-06-11,Taxi,4.62,Transport
2024-04-11,Taxi,42.86,Transport
2025-05-18,Spotify,9.54,Subscription
2024-03-28,Spotify,6.56,Subscription
2024-08-16,Pizza Hut,48.63,Dining
2024-01-27,eBay,33.47,Shopping
2024-03-04,Uber,19.27,Transport
2025-01-27,Spotify,16.44,Subscription
2024-12-31,Local Store,7.8,Shopping
2024-06-27,Netflix,49.57,Subscription
2025-07-01,Taxi,18.16,Transport
2025-05-06,Spotify,34.97,Subscription
2024-08-23,Amazon Prime,44.6,Subscription
2025-06-11,Local Store,7.36,Shopping
2024-01-13,Pizza Hut,37.1,Dining
2024-07-05,Starbucks,18.45,Dining
2024-10-14,Taxi,45.08,Transport
2024-05-02,Local Store,48.38,Shopping
2025-04-09,Starbucks,45.99,Dining
2024-05-07,Netflix,18.66,Subscription
2024-01-26,Netflix,22.3,Subscription
2024-05-30,eBay,2.65,Shopping
2025-01-03,Spotify,15.28,Subscription
2025-06-10,Pizza Hut,30.44,Dining
2024-04-12,Local Store,37.12,Shopping
2024-05-13,McDonald's,13.12,Dining
2024-03-29,Pizza Hut,49.67,Dining
2025-07-06,Costco,40.53,Groceries
2024-02-01,Local Store,41.99,Shopping
2024-02-13,Amazon Prime,30.58,Subscription
2024-11-05,Starbucks,5.19,Dining
2024-06-26,McDonald's,41.8,Dining
2025-07-22,Amazon Prime,28.63,Subscription
2024-12-31,Spotify,7.46,Subscription
2024-02-26,Uber,34.36,Transport
2025-06-17,Uber,43.91,Transport
2024-07-29,Walmart,25.99,Groceries
2025-03-30,Uber,23.89,Transport
2025-03-06,Amazon Prime,34.5,Subscription
2024-10-10,Starbucks,18.74,Dining
2025-06-10,Starbucks,38.15,Dining
2025-07-13,Pizza Hut,45.23,Dining
2025-07-05,eBay,31.05,Shopping
2024-11-18,Amazon Prime,8.9,Subscription
2025-03-03,Netflix,27.09,Subscription
2024-07-08,Spotify,25.96,Subscription
2025-07-04,Local Store,16.55,Shopping
2024-09-19,Costco,30.37,Groceries
2024-12-20,Taxi,9.47,Transport
2024-12-22,Walmart,29.58,Groceries
2025-01-04,Pizza Hut,43.31,Dining
2025-04-30,Costco,7.49,Groceries
2025-05-06,Walmart,10.13,Groceries
2024-12-04,Local Store,6.12,Shopping
2025-01-03,Bus Ticket,15.46,Transport
2024-07-16,eBay,34.81,Shopping
2024-08-14,eBay,31.13,Shopping
2025-05-19,McDonald's,40.11,Dining
2025-02-17,Whole Foods,32.27,Groceries
2024-04-06,Starbucks,4.92,Dining
2025-04-08,Pizza Hut,41.13,Dining
2025-07-17,Whole Foods,42.0,Groceries
2024-08-13,Uber,6.75,Transport
2024-07-23,Pizza Hut,18.0,Dining
2024-03-02,Uber,13.56,Transport
2025-01-08,Spotify,20.06,Subscription
2024-10-26,Costco,38.12,Groceries
2025-06-18,Pizza Hut,31.28,Dining
2025-05-28,Amazon Prime,11.65,Subscription
2024-06-16,Spotify,36.31,Subscription
2024-04-23,Costco,20.84,Groceries
2024-06-20,Starbucks,27.5,Dining
2024-08-25,McDonald's,22.83,Dining
2025-03-23,Amazon Prime,47.77,Subscription
2024-08-09,Amazon,19.72,Shopping
2024-11-13,Uber,18.96,Transport
2024-06-29,Taxi,8.52,Transport
2024-04-04,Local Store,40.0,Shopping
2024-03-25,Amazon,20.04,Shopping
2025-03-23,Uber,41.79,Transport
2025-01-04,Costco,7.39,Groceries
2024-09-10,Netflix,35.97,Subscription
2024-10-25,Local Store,31.7,Shopping
2024-11-05,Spotify,33.74,Subscription
2025-05-17,Netflix,31.23,Subscription
2024-09-20,Starbucks,32.41,Dining
2025-05-30,Pizza Hut,8.5,Dining
2024-03-04,Taxi,43.69,Transport
2024-02-29,Amazon,25.51,Shopping
2025-05-01,Spotify,48.34,Subscription
2025-01-13,Amazon Prime,34.87,Subscription
2024-02-12,Starbucks,5.04,Dining
2025-05-19,Starbucks,37.1,Dining
2025-06-08,Uber,36.65,Transport
2025-06-12,Uber,15.22,Transport
2025-05-04,eBay,18.42,Shopping
2024-12-16,Uber,19.67,Transport
2024-05-08,Taxi,11.05,Transport
2024-09-11,Taxi,30.09,Transport
2024-04-25,Uber,4.03,Transport
2024-12-22,Spotify,7.72,Subscription
2025-02-26,Amazon,46.6,Shopping
2025-05-01,Uber,17.35,Transport
2025-02-08,eBay,36.61,Shopping
2025-03-19,Amazon,18.19,Shopping
2025-05-20,Pizza Hut,32.73,Dining
2024-07-13,McDonald's,26.63,Dining
2025-03-18,McDonald's,15.73,Dining
2025-04-13,Whole Foods,25.16,Groceries
2025-04-25,eBay,48.82,Shopping
2025-06-28,Bus Ticket,42.36,Transport
2024-12-08,Walmart,14.18,Groceries
2025-06-06,Whole Foods,2.44,Groceries
2024-01-13,Uber,23.48,Transport
2024-06-29,Local Store,21.42,Shopping
2024-11-07,Costco,37.64,Groceries
2025-05-06,Taxi,36.08,Transport
2025-06-01,Whole Foods,38.9,Groceries
2024-05-30,Local Store,35.61,Shopping
2025-03-01,Uber,44.1,Transport
2025-04-07,Walmart,39.38,Groceries
2024-02-07,McDonald's,35.8,Dining
2024-12-19,Walmart,44.1,Groceries
2024-11-16,Uber,44.06,Transport
2024-01-30,Taxi,46.75,Transport
2024-05-01,McDonald's,14.71,Dining
2024-10-31,Spotify,9.2,Subscription
2024-10-31,Netflix,27.7,Subscription
2024-05-03,Bus Ticket,11.98,Transport
2024-08-12,Pizza Hut,18.19,Dining
2024-09-12,Starbucks,22.62,Dining
2025-05-03,Taxi,22.66,Transport
2024-05-23,Uber,33.67,Transport
2024-10-30,Walmart,36.69,Groceries
2025-07-07,Netflix,12.6,Subscription
2024-04-04,McDonald's,3.28,Dining
2025-02-01,Uber,27.85,Transport
2025-04-09,Netflix,10.01,Subscription
2024-11-06,Taxi,28.96,Transport
2024-02-24,Whole Foods,25.32,Groceries
2024-08-19,Pizza Hut,18.7,Dining
2024-12-19,Amazon Prime,8.92,Subscription
2024-04-12,Taxi,39.67,Transport
2025-01-21,Costco,35.05,Groceries
2025-06-22,Whole Foods,5.65,Groceries
2025-04-19,Costco,21.27,Groceries
2024-09-15,Amazon Prime,47.5,Subscription
2024-04-24,McDonald's,19.78,Dining
2024-04-21,McDonald's,4.76,Dining
2025-01-29,Bus Ticket,24.97,Transport
2025-03-23,Walmart,6.21,Groceries
2025-03-01,Spotify,31.8,Subscription
2024-07-20,Taxi,48.25,Transport
2024-01-08,Costco,6.59,Groceries
2024-11-21,Walmart,18.29,Groceries
2025-03-01,eBay,16.1,Shopping
2024-09-06,Uber,21.5,Transport
2024-10-18,Starbucks,16.8,Dining
2024-07-13,Starbucks,3.63,Dining
2025-02-02,Spotify,23.18,Subscription
2024-06-13,Netflix,40.03,Subscription
2024-09-24,Spotify,9.62,Subscription
2024-01-10,Netflix,17.54,Subscription
2025-01-03,Costco,3.54,Groceries
2025-03-10,eBay,16.86,Shopping
2024-08-06,Pizza Hut,38.98,Dining
2025-07-06,Amazon,42.28,Shopping
2025-05-31,Amazon Prime,18.73,Subscription
2024-11-13,Uber,47.77,Transport
2024-11-18,Taxi,27.77,Transport
2025-03-07,Starbucks,5.92,Dining
2024-09-14,eBay,49.05,Shopping
2025-03-16,Amazon Prime,38.35,Subscription
2024-07-30,Starbucks,4.77,Dining
2025-05-13,Netflix,19.96,Subscription
2024-02-03,Whole Foods,7.93,Groceries
2024-11-24,Costco,10.53,Groceries
2025-02-22,McDonald's,34.67,Dining
2025-01-30,Uber,6.49,Transport
2024-04-01,Starbucks,39.87,Dining
2024-07-29,Whole Foods,18.45,Groceries
2024-10-23,Walmart,26.68,Groceries
2024-10-07,eBay,22.46,Shopping
2024-07-05,Uber,17.66,Transport
2025-01-06,Starbucks,11.47,Dining
2024-10-07,Amazon Prime,43.68,Subscription
2025-04-12,Starbucks,4.58,Dining
2025-02-22,Whole Foods,48.86,Groceries
2024-01-05,Local Store,44.71,Shopping
2024-03-02,McDonald's,17.7,Dining
2024-07-27,Costco,23.86,Groceries
2025-05-19,McDonald's,40.5,Dining
2024-12-28,Costco,37.93,Groceries
2024-04-26,Spotify,39.65,Subscription
2024-09-02,Bus Ticket,40.85,Transport
2025-03-03,Amazon,5.0,Shopping
2024-03-15,Local Store,41.66,Shopping
2025-01-24,Taxi,27.1,Transport
2025-04-29,Taxi,46.58,Transport
2024-01-16,Amazon Prime,42.93,Subscription
2025-04-22,Bus Ticket,12.33,Transport
2024-07-20,McDonald's,27.36,Dining
2024-06-22,Amazon,34.67,Shopping
2025-01-19,Costco,44.46,Groceries
2024-08-27,Amazon,12.62,Shopping
2024-02-14,eBay,23.06,Shopping
2024-04-27,Costco,26.49,Groceries
2025-03-06,Netflix,35.59,Subscription
2024-12-23,Walmart,35.8,Groceries
2025-03-09,Whole Foods,22.93,Groceries
2024-04-30,Amazon,12.98,Shopping
2024-11-21,Taxi,41.73,Transport
2025-07-01,Pizza Hut,11.68,Dining
2024-02-29,Amazon Prime,15.23,Subscription
2024-05-16,Starbucks,13.67,Dining
2024-05-01,Pizza Hut,34.74,Dining
2024-12-17,Whole Foods,39.33,Groceries
2025-06-21,Costco,46.54,Groceries
2025-03-02,Whole Foods,30.34,Groceries
2024-12-14,Starbucks,35.08,Dining
2025-02-22,Starbucks,39.95,Dining
2025-05-23,Costco,44.55,Groceries
2024-05-16,McDonald's,27.75,Dining
2024-01-25,Walmart,16.86,Groceries
