Date,Forecasted_Amount
2025-07-26,100.94505
2025-07-27,100.84731
2025-07-28,100.740074
2025-07-29,100.650635
2025-07-30,100.59977
2025-07-31,100.59838
2025-08-01,100.64833
2025-08-02,100.74437
2025-08-03,100.876755
2025-08-04,101.03397
2025-08-05,101.204475
2025-08-06,101.37796
2025-08-07,101.546196
2025-08-08,101.70316
2025-08-09,101.84504
2025-08-10,101.96983
2025-08-11,102.077065
2025-08-12,102.16731
2025-08-13,102.24191
2025-08-14,102.3026
2025-08-15,102.35123
2025-08-16,102.38973
2025-08-17,102.419876
2025-08-18,102.44326
2025-08-19,102.461235
2025-08-20,102.475
2025-08-21,102.48541
2025-08-22,102.493286
2025-08-23,102.4992
2025-08-24,102.50366
