Date,Forecasted_Amount
2023-06-22,3235670.2
2023-06-23,3253874.0
2023-06-24,3279289.8
2023-06-25,3309284.8
2023-06-26,3340574.8
2023-06-27,3370066.0
2023-06-28,3395343.2
2023-06-29,3414864.8
2023-06-30,3427950.5
2023-07-01,3430837.2
2023-07-02,3432863.8
2023-07-03,3430118.5
2023-07-04,3423722.8
2023-07-05,3414860.2
2023-07-06,3404667.5
2023-07-07,3394145.0
2023-07-08,3384108.2
2023-07-09,3375163.0
2023-07-10,3367708.5
2023-07-11,3361951.2
2023-07-12,3357929.0
2023-07-13,3355550.8
2023-07-14,3354628.0
2023-07-15,3354910.0
2023-07-16,3356115.8
2023-07-17,3357959.0
2023-07-18,3360172.5
2023-07-19,3362521.0
2023-07-20,3364808.5
2023-07-21,3366892.5
